Hierarchy,ID,IconPath,Category,UnitValue,Unit Weight,FoodRate
Original,WHEAT,res://shared/resources/items/items_icons/wheat/wheat.png,Materials,2,0.5,-
Original,WOOD,res://shared/resources/items/items_icons/wood/wood.png,Materials,2,2,-
Original,STONE_ORE,res://shared/resources/items/items_icons/stone_ore/stone_ore.png,Materials,3,3,-
Original,IRON_ORE,res://shared/resources/items/items_icons/iron_ore/iron_ore.png,Materials,5,4,-
Original,GOLD_ORE,res://shared/resources/items/items_icons/gold_ore/gold_ore.png,Materials,8,3.5,-
Original,SHEEP,res://shared/resources/items/items_icons/sheep/sheep.png,Livestock,4,15,-
Original,COW,res://shared/resources/items/items_icons/cow/cow.png,Livestock,6,30,-
Original,HORSE,res://shared/resources/items/items_icons/horse/horse.png,Livestock,10,25,-
Original,FISH,res://shared/resources/items/items_icons/fish/fish.png,Foodstuffs,3,1,2
Processed,FLOUR,res://shared/resources/items/items_icons/flour/flour.png,Foodstuffs,4,0.8,2
Processed,MEAT,res://shared/resources/items/items_icons/meat/meat.png,Foodstuffs,6,1.2,3
Processed,LEATHER,res://shared/resources/items/items_icons/leather/leather.jpg,Materials,3,1,
Processed,PLANK,res://shared/resources/items/items_icons/plank/plank.png,Materials,5,1.5,-
Processed,STONE_BRICK,res://shared/resources/items/items_icons/stone_brick/stone_brick.png,Materials,6,2.5,-
Processed,IRON_INGOT,res://shared/resources/items/items_icons/iron_ingot/iron_ingot.png,Materials,15,2,-
Processed,GOLD_INGOT,res://shared/resources/items/items_icons/gold_ingot/gold_ingot.png,Materials,25,1.5,-
Processed,LUXURY,res://shared/resources/items/items_icons/luxury/luxury.png,Goods,50,1,-
Processed,SPEAR,res://shared/resources/items/items_icons/spear/spear.png,Weapon,20,3.5,-
Processed,BOW,res://shared/resources/items/items_icons/bow/bow.png,Weapon,25,2,-
Processed,WOOD_SHIELD,res://shared/resources/items/items_icons/wood_shield/wood_shield.png,Shield,15,4,-
Processed,LIGHT_ARMOR,res://shared/resources/items/items_icons/light_armor/light_armor.png,Armor,20,2.5,-
Processed,STONE_AXE,res://shared/resources/items/items_icons/stone_axe/stone_axe.png,Weapon,18,4.5,-
Processed,SWORD,res://shared/resources/items/items_icons/sword/sword.png,Weapon,30,2.5,-
Processed,PIKE,res://shared/resources/items/items_icons/pike/pike.png,Weapon,22,4.2,-
Processed,IRON_AXE,res://shared/resources/items/items_icons/iron_axe/iron_axe.png,Weapon,35,5.5,-
Processed,LONGBOW,res://shared/resources/items/items_icons/longbow/longbow.png,Weapon,28,3,-
Processed,IRON_SHIELD,res://shared/resources/items/items_icons/iron_shield/iron_shield.png,Shield,25,6,-
Processed,HEAVY_ARMOR,res://shared/resources/items/items_icons/heavy_armor/heavy_armor.png,Armor,40,12,-
Processed,CROSSBOW,res://shared/resources/items/items_icons/crossbow/corssbow.png,Weapon,45,4.8,-
Processed,WAR_HORSE,res://shared/resources/items/items_icons/war_horse/war_horse.png,Mount,60,30,-
Processed,GOLDEN_COIN,res://shared/resources/items/items_icons/golden_coin/golden_coin.png,Currency,10,0.1,
