MainProduct,Worker,Inputs,Outputs,Source,Preposition
WHEAT,1,,3 WHEAT,FARM,-
WOOD,1,,2 WOOD,LUMBER_CAMP,-
STONE_ORE,1,,2 STONE_ORE,MINE,-
IRON_ORE,1,,1 IRON_ORE,MINE,-
GOLD_ORE,3,,2 GOLD_ORE,MINE,-
SHEEP,2,,1 SHEEP,PASTURE,-
COW,5,,2 COW,PASTURE,-
HORSE,10,,3 HORSE,PASTURE,-
FISH,1,,2 FISH,FISHER_HUT,-
FLOUR,1,8 WHEAT,6 FLOUR,WIND_MILL,-
FLOUR,1,8 WHEAT,6 FLOUR,WATER_MILL,-
FLOUR,2,12 WHEAT,9 FLOUR,ANIMAL_MILL,-
MEAT,1,5 SHEEP,3 MEAT + 2 LEATHER,-,-
MEAT,3,8 COW,5 MEAT + 5 LEATHER,-,-
MEAT,3,7 HORSE,5 MEAT + 4 LEATHER,-,-
PLANK,1,2 WOOD,3 PLANK,WOOD_WORKSHOP,-
STONE_BRICK,3,5 STONE_ORE,4 STONE_BRICK,STONE_WORKSHOP,-
IRON_INGOT,3,5 IRON_ORE,3 IRON_INGOT + 2 STONE_ORE,SMELTERY,-
GOLD_INGOT,3,5 GOLD_ORE,2 GOLD_INGOT + 2 STONE_ORE,SMELTERY,-
LUXURY,5,1 IRON_INGOT + 2 GOLD_INGOT,2 LUXURY,REFINERY,-
STONE_AXE,1,3 WOOD + 2 STONE_BRICK,2 STONE_AXE,-,-
SPEAR,1,5 PLANK + 2 STONE_ORE,3 SPEAR,-,-
BOW,1,4 PLANK,1 BOW,-,-
WOOD_SHIELD,2,4 PLANK,1 WOOD_SHIELD,-,-
LIGHT_ARMOR,3,7 LEATHER,1 LIGHT_ARMOR,-,-
SWORD,2,3 IRON_INGOT + 1 PLANK,1 SWORD,-,BARRACKS
PIKE,1,1 IRON_INGOT + 4 PLANK,2 PIKE,-,BARRACKS
IRON_AXE,1,1 IRON_INGOT + 2 PLANK,1 IRON_AXE,-,BARRACKS
LONGBOW,2,"1 IRON_INGOT + 5 PLANK ",1 LONGBOW,-,MILITARY_FACTORY
IRON_SHIELD,3,6 IRON_INGOT,1 IRON_SHIELD,-,MILITARY_FACTORY
HEAVY_ARMOR,5,8 IRON_INGOT + 3 LEATHER,1 HEAVY_ARMOR,REFINERY,MILITARY_FACTORY
CROSSBOW,3,1 IRON_INGOT + 3 PLANK,1 CROSSBOW,REFINERY,MILITARY_FACTORY
WAR_HORSE,2,1 HORSE + 1 IRON_INGOT + 2 LEATHER,1 WAR_HORSE,STABLE,-
GOLDEN_COIN,5,1 GOLD_INGOT,10 GOLDEN_COIN,REFINERY,PALACE
